"state","medinc","demvote","repvote","relig","relig_pr","vet","nonvet","vet_pr","nonvet_pr"
"AL",41381,0.387837714665623,0.612162285334377,3007553,0.629229940733128,388865,3271838,0.106226864075015,0.893773135924985
"AK",61137,0.426847095184396,0.573152904815604,240833,0.339091084449989,71004,444710,0.137680962704134,0.862319037295866
"AZ",50602,0.453866197762968,0.546133802237032,2379928,0.372328171217317,522382,4318030,0.107920978627439,0.892079021372561
"AR",39919,0.378455946487704,0.621544053512296,1614357,0.553635939007887,237311,1979790,0.107036621245491,0.892963378754509
"CA",57528,0.618728111632966,0.381271888367034,16765751,0.45003948037089,1893539,26381804,0.0669678525208341,0.933032147479166
"CO",63371,0.527501068560091,0.472498931439909,1902282,0.378247735820994,399458,3458854,0.103531803545177,0.896468196454823
"CT",67781,0.587725774769071,0.412274225230929,1830862,0.512258620848847,217947,2552989,0.0786546495480228,0.921345350451977
"DE",52219,0.594469549192782,0.405530450807218,374917,0.417532914445828,75081,624951,0.10725366840373,0.89274633159627
"DC",60675,0.925876492021175,0.0741235079788248,332342,0.552317262261871,30520,480280,0.0597494126859828,0.940250587314017
"FL",47886,0.504422521393662,0.495577478606338,7357588,0.391333795357877,1569406,13457845,0.104437331884588,0.895562668115412
"GA",47439,0.460433509019433,0.539566490980567,4924376,0.508314655778856,690208,6579128,0.0949478741937365,0.905052125806263
"HI",61408,0.717038485010744,0.282961514989256,561980,0.413129153033042,112625,918804,0.109193167925276,0.890806832074724
"ID",51767,0.335786131564247,0.664213868435753,801655,0.511395895079173,122955,1030121,0.106632173421353,0.893367826578647
"IL",57196,0.585775233921169,0.414224766078831,7094832,0.552960446531395,727919,9014919,0.0747132406389186,0.925286759361081
"IN",50553,0.447996254026727,0.552003745973273,2874144,0.44328065539324,455105,4458578,0.0926199349856309,0.907380065014369
"IA",54855,0.529593519281002,0.470406480718998,1642344,0.53911773250327,226175,2109163,0.0968489357857407,0.903151064214259
"KS",51485,0.388866732547469,0.61113326745253,1444455,0.506272435980566,211113,1914464,0.0993203257280258,0.900679674271974
"KY",42158,0.384572276061951,0.615427723938049,2237714,0.51567751702034,312365,3011616,0.0939731604964048,0.906026839503595
"LA",39622,0.41253174385886,0.58746825614114,2746897,0.605927993555349,304271,3132122,0.0885437142957747,0.911456285704225
"ME",50121,0.578599213935771,0.421400786064229,367043,0.276312689095811,126842,930281,0.119987929503,0.880012070497
"MD",65262,0.63321725786906,0.36678274213094,2415376,0.418351822240451,427068,4030622,0.095804777810929,0.904195222189071
"MA",62963,0.6178568074906,0.3821431925094,3748058,0.572429806270331,383087,4808851,0.0737849720085255,0.926215027991474
"MI",48801,0.548005320711779,0.451994679288221,4165343,0.421438154364182,672213,6905530,0.0887088675348319,0.911291132465168
"MN",60907,0.539412264616982,0.460587735383018,2986450,0.563064145891957,366990,3697884,0.0902832412517584,0.909716758748242
"MS",40850,0.441981008012122,0.558018991987878,1742916,0.587374974598094,200748,2015525,0.090579093821023,0.909420906178977
"MO",50311,0.4522133324662,0.5477866675338,2950894,0.492724990636887,479828,4093375,0.104921649006178,0.895078350993822
"MT",44132,0.429657681361185,0.570342318638815,376976,0.38100898005387,94404,677276,0.12233568318474,0.87766431681526
"NE",53774,0.388706097317746,0.611293902682254,1016529,0.556593210139837,142176,1234291,0.103290525671883,0.896709474328117
"NV",45369,0.534075421633465,0.465924578366535,927955,0.343616913733531,226555,1831967,0.110057118651149,0.889942881348851
"NH",71322,0.528337519782581,0.471662480217419,462772,0.351524911315867,112790,924105,0.108776684235144,0.891223315764856
"NJ",61782,0.589519655505858,0.410480344494142,4809520,0.547040262314355,437652,6339425,0.0645782835284297,0.93542171647157
"NM",42127,0.552952046469087,0.447047953530913,1031198,0.500781136559765,172717,1374455,0.111634000615316,0.888365999384684
"NY",53843,0.651910532959616,0.348089467040384,9923512,0.512099275770145,912499,14258723,0.0601467040690592,0.939853295930941
"NC",41208,0.48965965096995,0.51034034903005,4566313,0.478875899626689,724295,6557835,0.0994619706047544,0.900538029395246
"ND",52888,0.398887917110883,0.601112082889117,451456,0.671219210486016,53157,477316,0.100206796575886,0.899793203424114
"OH",46398,0.515140567692495,0.484859432307505,5071684,0.439620529754941,864923,7978674,0.0978021725775157,0.902197827422484
"OK",43777,0.332276802569834,0.667723197430166,2226379,0.593487252992322,312492,2517849,0.110407897846938,0.889592102153062
"OR",56307,0.562711671787474,0.437288328212526,1194793,0.311868943278047,323205,2680026,0.107619094235508,0.892380905764492
"PA",53952,0.527319340018918,0.472680659981082,6838440,0.538358995586575,943417,9020232,0.094685892688512,0.905314107311488
"RI",57812,0.640167459788821,0.359832540211179,576919,0.548106676344594,70621,758143,0.0852124368336463,0.914787563166354
"SC",43749,0.446917452954346,0.553082547045654,2413443,0.521784447667254,391660,3175027,0.109810588930287,0.890189411069713
"SD",54453,0.407815008618048,0.592184991381952,476832,0.58565919084232,67886,550161,0.109839542947381,0.890160457052619
"TN",42499,0.39648928473706,0.60351071526294,3522345,0.555040453947736,484901,4407701,0.0991090221522208,0.900890977847779
"TX",53027,0.419921027848936,0.580078972151064,13994564,0.556542126858892,1583272,17029477,0.0850638452170606,0.914936154782939
"UT",62967,0.253738111048525,0.746261888951475,2186403,0.791061494960897,143771,1785213,0.0745319816027505,0.92546801839725
"VT",54842,0.682472588263906,0.317527411736094,210391,0.336226969305192,48456,450207,0.0971718374934575,0.902828162506543
"VA",67620,0.519673766887645,0.480326233112355,3586592,0.4482666218724,726470,5403152,0.118517911871238,0.881482088128762
"WA",60106,0.576282982706218,0.423717017293782,2328005,0.346195427493925,582265,4602523,0.112302566662321,0.887697433337679
"WV",40241,0.363258484875285,0.636741515124715,658313,0.355269903734173,159448,1307766,0.108673990297257,0.891326009702743
"WI",55258,0.535163824043373,0.464836175956627,3047442,0.535862405850832,408870,3969581,0.0933823400102,0.9066176599898
"WY",55700,0.288393659884786,0.711606340115214,223074,0.395783728926629,50852,379924,0.118047430683232,0.881952569316768
